LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Dollars,GDP,Flag Codes
AUT,HEALTHEXP,TOT,USD_CAP,A,2015,5100.015,10.32,
BEL,HEALTHEXP,TOT,USD_CAP,A,2015,4778.452,10.477,
CZE,HEALTHEXP,TOT,USD_CAP,A,2015,2466.027,7.308,
DNK,HEALTHEXP,TOT,USD_CAP,A,2015,5057.861,10.326,
FIN,HEALTHEXP,TOT,USD_CAP,A,2015,3993.189,9.446,
FRA,HEALTHEXP,TOT,USD_CAP,A,2015,4529.586,11.066,
DEU,HEALTHEXP,TOT,USD_CAP,A,2015,5352.626,11.152,
GRC,HEALTHEXP,TOT,USD_CAP,A,2015,2210.071,8.385,
HUN,HEALTHEXP,TOT,USD_CAP,A,2015,1912.959,7.236,
IRL,HEALTHEXP,TOT,USD_CAP,A,2015,5275.77,7.761,
ITA,HEALTHEXP,TOT,USD_CAP,A,2015,3351.594,8.996,
LUX,HEALTHEXP,TOT,USD_CAP,A,2015,6817.898,6.048,P
NLD,HEALTHEXP,TOT,USD_CAP,A,2015,5296.708,10.69,
POL,HEALTHEXP,TOT,USD_CAP,A,2015,1703.634,6.344,
PRT,HEALTHEXP,TOT,USD_CAP,A,2015,2663.699,8.972,
SVK,HEALTHEXP,TOT,USD_CAP,A,2015,2059.383,6.886,
ESP,HEALTHEXP,TOT,USD_CAP,A,2015,3180.049,9.165,
SWE,HEALTHEXP,TOT,USD_CAP,A,2015,5266.333,11.012,
GBR,HEALTHEXP,TOT,USD_CAP,A,2015,4125.26,9.877,
EST,HEALTHEXP,TOT,USD_CAP,A,2015,1885.169,6.513,
SVN,HEALTHEXP,TOT,USD_CAP,A,2015,2730.8,8.543,
LVA,HEALTHEXP,TOT,USD_CAP,A,2015,1434.35,5.761,
LTU,HEALTHEXP,TOT,USD_CAP,A,2015,1883.284,6.514,
